愛	8
源	1
記	2
納	2
探	3
夜	1
ゾ	21
島	11
滞	8
強	405
焦	1
急	9
報	10
若	32
時	54
架	1
ッ	791
省	24
タ	644
ラ	838
誠	16
エ	330
刈	1
法	2
警	2
格	1
組	1490
以	1
違	52
デ	200
覆	7
耐	1
マ	303
乗	57
ね	189
叫	11
ゼ	53
貴	1
み	1527
ぅ	1
癒	2
学	48
間	103
拒	1
モ	86
止	22
限	90
賃	4
然	39
取	1616
準	3
異	25
妨	7
併	16
が	12938
寄	51
穴	3
南	1
ユ	11
捕	2
セ	368
売	34
戦	9
委	7
詳	6
終	374
送	28
抜	23
ァ	19
控	13
霹	3
関	1187
肉	2
少	86
構	2
羽	3
ヤ	7
静	7
浮	7
狭	4
適	8
著	19
会	36
理	1
積	36
悩	13
加	137
方	207
前	40
玉	1
嫌	1
瞬	1
尊	2
久	2
で	15113
ジ	414
改	159
勧	2
ダ	148
祈	61
諭	1
ざ	814
通	218
寂	4
尽	53
語	15
差	26
閉	19
訴	29
巡	1
常	22
営	14
腰	1
見	658
承	2
固	7
譲	11
も	8624
六	5
血	2
ビ	409
の	46025
撃	3
請	5
丘	2
ヴ	1
小	21
万	3
懐	3
活	10
資	39
区	3
飾	5
そ	2572
道	5
過	55
フ	333
惧	13
泊	2
ん	2146
描	14
便	4
慎	1
誓	4
多	304
更	29
選	13
東	9
又	34
身	5
粛	2
悲	8
冷	9
正	16
使	80
段	2
隠	4
志	2
主	6
回	83
確	32
座	3
す	23390
惜	2
困	3
築	18
乏	8
シ	445
ワ	181
諮	326
堪	2
ょ	125
け	3079
試	8
考	684
恐	4
飛	5
欲	3
封	1
重	106
札	1
流	56
健	13
術	1
設	44
永	3
文	3
褒	1
算	1
散	1
伺	36
く	4074
ゴ	26
栄	1
単	12
置	156
根	14
上	1789
遠	9
ロ	459
風	6
頼	15
滑	1
注	10
拓	1
ェ	161
二	31
敷	1
導	5
闘	13
一	107
分	84
参	1
筋	2
唱	4
卸	1
消	6
出	452
程	6
ボ	62
ィ	160
ゥ	2
べ	1324
温	30
ム	414
自	11
動	64
粘	7
き	6141
技	1
係	260
咲	4
未	4
熱	11
迎	73
第	1
行	1504
苦	38
・	50
失	19
掛	12
む	585
黙	1
裏	8
ド	338
仲	2
生	294
話	44
パ	252
明	108
宗	1
就	1
カ	333
賄	8
軒	3
引	567
宛	19
摘	1
細	44
伴	335
要	116
ば	635
解	2
ガ	101
世	22
弾	2
葬	2
欠	33
配	19
車	1
び	2637
子	500
受	481
奪	29
ど	3594
謹	3
現	8
存	66
ノ	121
わ	2029
略	1
断	20
集	35
ト	1172
練	1
招	29
輝	39
泣	3
課	10
新	389
橋	6
忘	10
皮	2
年	24
占	32
プ	653
付	188
眠	2
廻	2
焼	9
次	1500
吹	4
添	60
台	1
賭	1
ー	3180
盛	97
ぎ	158
ヒ	12
遂	12
位	62
踏	322
真	28
繰	85
囲	4
誇	26
を	22535
極	85
磨	4
忙	4
軽	4
仮	9
オ	208
病	7
剥	1
凝	4
曇	1
た	21570
好	8
載	1
口	5
溶	1
三	20
業	3
得	61
っ	5038
ヌ	3
為	1
ゆ	158
川	1
払	53
張	45
基	288
示	232
背	6
天	4
走	7
素	1
ち	1384
治	3
診	2
既	59
捉	29
図	525
る	20649
呈	2
ス	1538
良	7
悪	7
庁	1
美	6
不	4
し	27496
果	104
借	13
目	205
