レ	203
ぅ	1
く	2288
デ	111
エ	74
ば	525
パ	134
ザ	31
ェ	136
み	257
ほ	546
も	8281
ロ	329
ケ	76
べ	1067
ぞ	290
サ	59
や	2988
こ	9636
ナ	71
つ	6344
チ	118
せ	1988
め	2083
ッ	542
ち	934
ペ	8
ラ	671
ネ	86
x	404797
ミ	133
ホ	16
ご	1153
ワ	36
ね	87
リ	492
ブ	161
ソ	49
ム	265
ふ	256
び	147
ツ	16
ビ	94
ォ	5
セ	53
フ	231
ゼ	46
ぁ	1
コ	173
と	23201
ヒ	10
ア	574
ト	630
ぶ	45
ボ	44
ゲ	4
カ	131
ざ	806
テ	308
グ	140
る	14704
え	226
ウ	108
ま	25820
ゆ	157
て	20777
ぬ	31
ギ	15
が	12551
は	13509
で	15075
ン	1261
ル	325
ど	3368
ヘ	41
う	4518
イ	491
れ	9480
づ	420
き	4165
ョ	129
げ	86
ぐ	124
い	20903
バ	182
ぴ	8
す	20860
プ	422
ぱ	14
モ	69
の	45736
ス	716
ゃ	26
あ	9050
た	20659
な	12741
り	13355
ゅ	5
ら	6701
ィ	81
ズ	15
お	6461
に	27090
メ	127
ユ	6
し	21982
ァ	15
ド	149
ピ	147
ぼ	23
そ	2415
さ	5443
ひ	138
オ	152
ュ	36
だ	1975
シ	277
よ	5863
ん	1509
ヤ	3
ダ	92
マ	181
け	1321
ょ	117
ハ	45
ガ	65
ニ	99
ベ	175
ポ	30
ゴ	23
っ	3555
ジ	276
わ	884
ヌ	3
ず	1260
ぎ	77
タ	99
キ	94
へ	1125
じ	207
む	44
ヨ	5
ぜ	52
ろ	893
ぷ	1
を	22452
ク	583
ャ	112
ノ	84
か	7588
