9902	%、0	8
35193	%から	6
22231	%であ	4
11239	%です	5
34692	%と、	5
3800	%とな	11
4643	%に引	6
25476	%の増	13
9998	%の引	7
15189	%の減	13
12107	%への	6
1931	%以上	5
32225	%削減	4
9407	%前後	6
28243	%増の	10
23288	%引き	12
21390	(0)	93
39858	(00	10
34572	(0名	8
3498	(0年	4
31694	(0番	20
25397	(FC	4
13767	(〃)	97
16337	(「な	12
36079	(「固	4
32422	(「異	108
19361	(のぞ	14
16034	(サミ	4
38841	(上の	5
29345	(予算	8
11507	(事件	5
34379	(以下	9
16288	(仮称	23
28689	(全部	11
19865	(出席	31
14579	(別冊	4
39919	(前項	4
23473	(原案	6
27402	(参照	6
24208	(名前	50
1632	(固名	153
5871	(報告	7
2748	(多数	8
11552	(委員	7
7270	(学事	4
26565	(常任	4
19144	(意見	67
7246	(拍手	391
36791	(提出	4
35727	(施行	6
16549	(書記	9
38563	(期末	5
2270	(木曜	4
16721	(条例	4
38698	(案)	72
28720	(水曜	5
23041	(申出	4
33255	(発言	7
28912	(登壇	79
4650	(知事	18
35231	(第0	201
28444	(経過	5
36703	(総務	6
12151	(規制	4
7773	(議事	6
6191	(議会	6
34875	(議案	10
11113	(議決	11
38747	(議長	5
25801	(議題	6
14465	(賛成	117
31009	(起立	9
1833	(都市	4
38051	(金曜	6
23932	(関係	13
37276	)(拍	9
17042	)││	14
12977	)│原	14
35524	)、議	8
11565	)〃〃	21
32131	)」に	6
35100	)」の	6
20403	)」を	5
18474	)〔登	7
14194	)〔降	7
20606	)〜(	8
7311	)それ	4
30612	)であ	4
8815	)にお	6
33140	)につ	21
1533	)によ	4
7800	)に対	4
39071	)に賛	6
19638	)に関	5
32975	)のう	13
39649	)の一	12
10341	)の役	4
34596	)の策	12
2833	)は、	10
12127	)ほか	5
40476	)午前	4
39086	)去る	5
17008	)及び	9
39977	)可決	13
16220	)同第	36
37854	)名前	32
33212	)固名	32
5912	)報告	6
23528	)巻末	7
30640	)御報	5
8742	)本委	5
25292	)登壇	18
17384	)私は	10
18307	)第0	16
33028	)総務	6
35249	)議員	6
35259	)議案	10
29335	)議第	5
936	)附則	5
40014	*採決	5
12562	,00	162
5390	,0人	38
35441	,0件	4
34975	,0余	28
9112	,0円	45
11023	,いず	12
25233	,おか	4
18014	,お手	9
27433	,この	4
25700	,これ	20
5219	,さま	5
32494	,さよ	6
35607	,さら	5
22370	,その	27
13858	,それ	9
14907	,また	9
27553	,スク	4
37974	,一般	4
11931	,不採	4
6022	,事業	5
15412	,今後	8
5397	,企業	4
968	,児童	5
28594	,全会	12
19842	,原案	16
2218	,去る	6
37420	,各案	5
38119	,固名	93
20784	,国の	5
29165	,地域	19
17788	,地方	19
35716	,報告	10
8194	,委員	13
27572	,子供	4
9939	,子育	5
21061	,学校	7
17536	,家庭	6
31277	,審査	4
33000	,小学	4
9021	,差し	6
13726	,市町	14
39823	,広域	5
1262	,御報	10
9910	,循環	4
30698	,慎重	7
9581	,所要	24
22608	,採択	6
30461	,提案	4
32314	,教育	14
12099	,新た	6
16806	,昨年	11
19642	,晴れ	4
23035	,本件	16
17651	,本委	7
16842	,本日	6
9597	,本県	8
33692	,環境	4
19789	,申し	4
8069	,県で	4
38543	,県内	8
18894	,県政	5
24526	,県民	16
32979	,県立	6
25428	,知事	9
35302	,第0	14
9878	,総額	15
4528	,調査	5
25229	,請願	6
22071	,警察	4
33168	,議員	8
19119	,議案	6
11585	,議第	19
13090	,関係	14
