230511_25,秋田県,５月,1,23,5,11,臨時,本会議　５月臨時会　本会議,null,議長,大里祐一,臨時議長,　（１１）報告第　　７号　平成２２年度地方独立行政法人秋田県立病院機構施設整備等貸付金特別会計補正予算（第２号）の専決処分報告,,null,read_detail.phtml.pfhhy6.html
230511_26,秋田県,５月,1,23,5,11,臨時,本会議　５月臨時会　本会議,null,議長,大里祐一,臨時議長,　（１２）報告第　　８号　平成２３年度秋田県一般会計補正予算（第１号）の専決処分報告,,null,read_detail.phtml.pfhhy6.html
230511_27,秋田県,５月,1,23,5,11,臨時,本会議　５月臨時会　本会議,null,議長,大里祐一,臨時議長,　（１３）報告第　　９号　秋田県県税条例の一部を改正する条例の専決処分報告,,null,read_detail.phtml.pfhhy6.html
230511_28,秋田県,５月,1,23,5,11,臨時,本会議　５月臨時会　本会議,null,議長,大里祐一,臨時議長,　（１４）報告第　１０号　精神障害者保健福祉手帳の障害等級記載誤りに関する和解及び損害賠償の専決処分報告,,null,read_detail.phtml.pfhhy6.html
230511_29,秋田県,５月,1,23,5,11,臨時,本会議　５月臨時会　本会議,null,議長,大里祐一,臨時議長,　（１５）報告第　１１号　交通事故に係る和解及び損害賠償の専決処分報告,,null,read_detail.phtml.pfhhy6.html
230511_30,秋田県,５月,1,23,5,11,臨時,本会議　５月臨時会　本会議,null,議長,大里祐一,臨時議長,　（１６）報告第　１２号　交通事故に係る和解及び損害賠償の専決処分報告,,null,read_detail.phtml.pfhhy6.html
230511_31,秋田県,５月,1,23,5,11,臨時,本会議　５月臨時会　本会議,null,議長,大里祐一,臨時議長,　（１７）報告第　１３号　交通事故に係る和解及び損害賠償の専決処分報告,,null,read_detail.phtml.pfhhy6.html
230511_32,秋田県,５月,1,23,5,11,臨時,本会議　５月臨時会　本会議,null,議長,大里祐一,臨時議長,　（１８）報告第　１４号　交通事故に係る和解及び損害賠償の専決処分報告,,null,read_detail.phtml.pfhhy6.html
230511_33,秋田県,５月,1,23,5,11,臨時,本会議　５月臨時会　本会議,null,議長,大里祐一,臨時議長,　（１９）報告第　１５号　工事請負変更契約締結の専決処分報告,,null,read_detail.phtml.pfhhy6.html
230511_34,秋田県,５月,1,23,5,11,臨時,本会議　５月臨時会　本会議,null,議長,大里祐一,臨時議長,　（２０）報告第　１６号　工事委託変更契約締結の専決処分報告,,null,read_detail.phtml.pfhhy6.html
230511_35,秋田県,５月,1,23,5,11,臨時,本会議　５月臨時会　本会議,null,議長,大里祐一,臨時議長,　（２１）報告第　１７号　道路事故に係る和解及び損害賠償の専決処分報告,,null,read_detail.phtml.pfhhy6.html
230511_36,秋田県,５月,1,23,5,11,臨時,本会議　５月臨時会　本会議,null,議長,大里祐一,臨時議長,　（２２）報告第　１８号　道路事故に係る和解及び損害賠償の専決処分報告,,null,read_detail.phtml.pfhhy6.html
